Date,Open,High,Low,Close,Volume
,SPY,SPY,SPY,SPY,SPY
2023-01-18,383.55447849264397,384.6214688994839,376.12388712892096,376.32574462890625,99632300
2023-01-19,374.2782951082531,375.9316728273004,372.2596611662881,373.5862121582031,86958900
2023-01-20,374.9896330898137,380.6995518316875,373.3362554518386,380.5457458496094,91806400
2023-01-23,381.35320420051227,387.05350088541945,380.3919388167981,385.11175537109375,84178800
2023-01-24,383.4294566721119,385.61151805275085,382.2374972456552,384.6983337402344,59524900
2023-01-25,380.6130286416279,385.17903907302156,378.315590364586,384.84259033203125,84800300
2023-01-26,387.5148680133813,389.2355410385258,384.53493984754374,389.0721130371094,72287400
2023-01-27,388.0244103810875,392.35010485384606,387.8129308112218,389.9661560058594,68346200
2023-01-30,387.1976608576454,389.43742549092923,384.7752828014121,385.0732727050781,74202000
2023-01-31,385.59233249306016,390.78315894993915,385.2462617503417,390.735107421875,86811800
2023-02-01,389.51425697208833,397.64658154980566,386.765052627041,394.8877258300781,101459200
2023-02-02,398.79055744002517,402.1069348680651,396.8872706861001,400.6361999511719,101654500
2023-02-03,395.647206038585,400.81881836953994,395.16657335854075,396.3777770996094,94736800
2023-02-06,393.91695380659627,395.35885189681073,392.292412944782,393.95538330078125,60295300
2023-02-07,393.032553598725,400.3573907721146,391.7829203949697,399.1077575683594,90990700
2023-02-08,397.1275398238218,398.47330538262435,394.0514791161398,394.74359130859375,76227500
2023-02-09,398.35794092957406,398.5117468918236,390.09105380546026,391.32147216796875,78694900
2023-02-10,390.13916034833926,392.6192415030363,389.3221082284389,392.2347412109375,70769700
2023-02-13,392.88835553423695,396.97373306906144,392.4269376283513,396.8391418457031,64913500
2023-02-14,395.3107297793623,398.9731481995332,392.6864943036978,396.6565246582031,88389300
2023-02-15,394.4552734406725,398.0215599573254,393.60935517208264,397.9446716308594,61555700
2023-02-16,392.95567830940917,396.9160869350225,392.33086168681325,392.4654235839844,76431500
2023-02-17,390.33139419613065,391.72524064683955,388.3992415120903,391.48492431640625,89257800
2023-02-21,387.4476027187317,388.5050004519839,383.37184709473024,383.6313781738281,82655900
2023-02-22,384.0447434887899,385.59239604305503,381.6415799797693,383.10272216796875,83742300
2023-02-23,386.005727465885,386.6209513962091,380.9014105944118,385.1405944824219,96242400
2023-02-24,380.1035606580243,381.86266335503956,378.39250949469886,381.0263671875,108194400
2023-02-27,384.381158691797,385.7461683533758,381.3820155880344,382.3240661621094,80444700
2023-02-28,381.8434698821235,383.81405224104327,380.8052868100692,380.9110412597656,96438600
2023-03-01,380.09398142412203,381.324400047159,378.1426137015987,379.4499206542969,99706800
2023-03-02,377.4696443451899,383.2468580842527,377.13319562899125,382.40093994140625,85127800
2023-03-03,384.22736466723944,388.7837823723887,383.5737112700418,388.5338439941406,90120000
2023-03-06,389.3605300454294,391.6675904235153,388.3608351727829,388.8030090332031,72795900
2023-03-07,388.75494500797566,388.9952613450141,382.22794508007405,382.8431396484375,108310600
